year,make,model,cond,mileage,price
2019,Toyota,RAV4 XLE,,27192,35999
2018,Toyota,4Runner Sport,,24344,46637
2020,Toyota,4Runner SR5 Premium,,12289,44990
2019,Toyota,RAV4 Limited,,15236,37492
2020,Toyota,Camry XSE,,11341,34999
2016,Toyota,4Runner Limited,,86366,35800
2018,Toyota,RAV4 XLE,,30397,29658
2021,Toyota,Tacoma TRD Sport,,810,47985
2018,Toyota,RAV4 LE,,42141,28995
2018,Toyota,4Runner TRD Pro,,65627,39950
2008,Toyota,Land Cruiser ,,266178,24545
2018,Toyota,RAV4 LE,,38956,28520
2019,Toyota,C-HR LE,,30671,24854
2018,Toyota,RAV4 LE,,34089,23995
2018,Toyota,Camry ,,69121,21784
2018,Toyota,Highlander LE,,45227,30488
2019,Toyota,Camry XSE,,19625,37900
2017,Toyota,RAV4 Limited,,95322,27421
2018,Toyota,4Runner Limited,,21350,44992
2019,Toyota,Sequoia SR5,,30699,49477
2018,Toyota,RAV4 XLE,,35102,28900
2014,Toyota,Highlander Hybrid Limited,,86098,28490
2018,Toyota,RAV4 XLE,,30352,28540
2020,Toyota,Camry SE,,55463,26681
2019,Toyota,Corolla LE,,47999,21179
2005,Toyota,Highlander Limited,,113605,9495
2017,Toyota,4Runner Limited,,84161,40982
2018,Toyota,4Runner Limited,,13340,49259
2021,Toyota,RAV4 XLE,,14218,37981
2019,Toyota,RAV4 XLE Premium,,25964,37000
2018,Toyota,Highlander XLE,,33473,35990
2019,Toyota,Camry XSE,,14491,33750
2016,Toyota,4Runner Limited,,24384,41990
2021,Toyota,4Runner Limited,,18503,54223
2018,Toyota,RAV4 Limited,,12932,33846
2019,Toyota,4Runner Limited,,24014,47466
2017,Toyota,Tundra 1794,,48983,45995
2021,Toyota,Corolla SE,,16432,25887
2019,Toyota,C-HR LE,,26768,26984
2019,Toyota,4Runner SR5,,23790,44888
2018,Toyota,Highlander XLE,,34292,38311
2019,Toyota,Tundra TRD Pro,,30725,59958
2016,Toyota,4Runner SR5,,70971,32999
2015,Toyota,Tundra SR5,,60565,34818
2019,Toyota,C-HR LE,,33656,23588
2017,Toyota,Highlander XLE,,62166,34999
2016,Toyota,RAV4 Hybrid Limited,,44318,28499
2020,Toyota,Corolla LE,,15885,22982
2017,Toyota,Prius Two,,53569,24998
2021,Toyota,Corolla LE,,15768,24124
2008,Toyota,Sienna XLE,,116025,9890
2007,Toyota,Prius ,,77920,10975
2021,Toyota,Tundra SR5,,16429,52480
2009,Toyota,Corolla LE,,47781,11997
2021,Toyota,Supra 3.0,,12615,58942
2020,Toyota,Corolla LE,,49113,20389
2017,Toyota,4Runner Limited,,43402,41996
2019,Toyota,Camry LE,,76908,19977
2017,Toyota,RAV4 Hybrid Limited,,31804,31688
2020,Toyota,Camry XSE,,19065,34900
2004,Toyota,Highlander ,,242684,6600
2018,Toyota,RAV4 XLE,,31417,29988
2018,Toyota,RAV4 XLE,,36881,24995
2018,Toyota,Highlander Hybrid XLE,,81197,36998
2019,Toyota,4Runner SR5,,19407,40795
2017,Toyota,4Runner Limited,,60069,39708
2018,Toyota,RAV4 LE,,48850,27000
2021,Toyota,Tacoma TRD Sport,,4613,49795
2018,Toyota,4Runner Limited,,37173,45991
2019,Toyota,4Runner Limited,,49674,41467
2019,Toyota,C-HR ,,23250,28308
2014,Toyota,Prius Two,,136362,11488
2018,Toyota,RAV4 XLE,,18503,28139
2018,Toyota,RAV4 Limited,,33460,29800
2017,Toyota,Corolla LE,,36961,20167
2019,Toyota,Highlander XLE,,26826,41131
2019,Toyota,Highlander XLE,,46602,37993
2015,Toyota,Tacoma PreRunner,,87826,24995
2019,Toyota,Camry LE,,21252,24991
2019,Toyota,Highlander XLE,,18315,40890
2019,Toyota,C-HR LE,,19229,24999
2018,Toyota,RAV4 XLE,,17703,25999
2020,Toyota,Tundra SR5,,20103,47999
2019,Toyota,Camry XSE,,26409,28999
2011,Toyota,Tundra Grade,,80111,28999
2018,Toyota,Tacoma SR5,,32581,39392
2018,Toyota,RAV4 XLE,,18761,27491
2018,Toyota,RAV4 XLE,,21902,29282
2007,Toyota,Sequoia SR5,,155375,10995
2018,Toyota,RAV4 XLE,,62638,24888
2020,Toyota,4Runner Limited,,15637,45995
2020,Toyota,Corolla LE,,33976,21500
2018,Toyota,RAV4 LE,,34433,24980
2018,Toyota,Highlander XLE,,27271,34000
2018,Toyota,RAV4 Hybrid Limited,,62669,24998
2020,Toyota,Camry SE,,17337,32477
2018,Toyota,4Runner SR5 Premium,,37448,46941
2019,Toyota,Sequoia TRD Sport,,24674,58369
2019,Toyota,C-HR LE,,16511,23995
2019,Toyota,RAV4 Hybrid XSE,,46425,37500
2020,Toyota,RAV4 LE,,36981,30555
2018,Toyota,C-HR XLE,,31558,28991
2021,Toyota,RAV4 XLE Premium,,10058,40247
2019,Toyota,RAV4 XLE,,28321,32645
2019,Toyota,RAV4 XLE,,46420,30374
2018,Toyota,RAV4 LE,,26770,30998
2018,Toyota,Tundra Limited,,16659,50598
2016,Toyota,4Runner Limited,,44834,42991
2019,Toyota,Highlander XLE,,36003,42333
2016,Toyota,Highlander XLE,,84440,28500
2021,Toyota,RAV4 LE,,2881,34455
2017,Toyota,Corolla LE,,37043,19490
2017,Toyota,4Runner Limited,,82497,38000
2017,Toyota,Highlander XLE,,82756,30328
2021,Toyota,Camry XSE,,21935,37688
2014,Toyota,Avalon XLE,,74421,18994
2017,Toyota,RAV4 Limited,,75057,24398
2016,Toyota,Highlander Limited,,50925,32419
2018,Toyota,RAV4 LE,,30741,27590
2016,Toyota,Camry SE,,69264,14499
2019,Toyota,Highlander LE,,17781,34623
2018,Toyota,RAV4 XLE,,31813,30896
2017,Toyota,4Runner SR5,,85241,36588
2018,Toyota,RAV4 XLE,,38919,28739
2018,Toyota,RAV4 LE,,14657,25900
2014,Toyota,Tacoma Base,,119564,14995
2016,Toyota,Highlander XLE,,67152,28995
2015,Toyota,4Runner SR5,,43722,33991
2017,Toyota,Camry SE,,4832,20997
2020,Toyota,Camry SE,,17289,27951
2021,Toyota,4Runner SR5,,15362,39999
2018,Toyota,RAV4 XLE,,39194,27495
2018,Toyota,RAV4 XLE,,46101,25989
2018,Toyota,4Runner SR5 Premium,,38703,38990
2021,Toyota,RAV4 XLE,,11040,36874
2020,Toyota,Tundra SR5,,18679,56785
2017,Toyota,RAV4 XLE,,45947,26978
2019,Toyota,Camry XSE,,21334,34888
2015,Toyota,Highlander LE,,139977,19591
2018,Toyota,RAV4 XLE,,31863,28995
2021,Toyota,Highlander Hybrid Platinum,,11342,57998
2017,Toyota,Corolla LE,,37264,20990
2015,Toyota,RAV4 LE,,17782,21487
2020,Toyota,RAV4 XLE,,39303,33495
2019,Toyota,Corolla LE,,10825,17990
2019,Toyota,Highlander Limited Platinum,,35717,42302
2019,Toyota,RAV4 XLE,,53012,29995
2018,Toyota,Camry XLE,,111001,21982
2020,Toyota,RAV4 LE,,11310,34888
2019,Toyota,Camry XSE,,27123,32505
2017,Toyota,4Runner Limited,,47077,44376
2018,Toyota,Highlander XLE,,42106,34985
2018,Toyota,Highlander LE Plus,,32293,37981
2018,Toyota,4Runner Limited,,33122,46690
2008,Toyota,Sequoia Limited,,258855,9995
2019,Toyota,Camry LE,,15390,27100
2018,Toyota,RAV4 XLE,,29556,25699
2015,Toyota,RAV4 XLE,,30710,21490
2005,Toyota,Highlander Limited,,99525,9195
2020,Toyota,Camry SE,,17498,28616
2016,Toyota,Tundra SR5,,71731,34391
2018,Toyota,RAV4 LE,,45016,25348
2017,Toyota,RAV4 SE,,47874,27000
2016,Toyota,Avalon XLE Premium,,45334,24991
2020,Toyota,4Runner Limited,,16162,62997
2016,Toyota,Camry SE,,115431,16500
2018,Toyota,RAV4 LE,,19748,26989
2018,Toyota,RAV4 XLE,,41373,28000
2017,Toyota,Tundra SR5,,64272,39807
2019,Toyota,Tundra SR5,,34419,43900
2018,Toyota,RAV4 XLE,,38569,27691
2019,Toyota,Highlander LE,,16387,34450
2018,Toyota,RAV4 LE,,84553,22490
2019,Toyota,C-HR LE,,64759,24488
2021,Toyota,Highlander XSE,,3443,47899
2017,Toyota,RAV4 XLE,,55865,21995
2019,Toyota,Camry LE,,47751,25890
2019,Toyota,C-HR LE,,14055,24452
2021,Toyota,RAV4 LE,,16405,30720
2016,Toyota,Prius Three,,39185,27588
2019,Toyota,RAV4 XLE,,46819,31941
2020,Toyota,C-HR LE,,12553,29700
2016,Toyota,Corolla LE,,36872,14880
2019,Toyota,Sequoia SR5,,66251,45989
2017,Toyota,Camry SE,,58679,12995
2018,Toyota,Tundra 1794,,34046,49980
2017,Toyota,Highlander Limited,,25138,35992
2020,Toyota,Tundra SR5,,16255,45225
2019,Toyota,RAV4 XLE,,19618,30599
2018,Toyota,RAV4 XLE,,23076,30000
2013,Toyota,Prius v Three,,131350,9995
2019,Toyota,Tundra TRD Pro,,41839,54695
2017,Toyota,Highlander Limited,,58400,35048
2018,Toyota,Tacoma SR5,,41173,45000
2017,Toyota,4Runner Limited,,65052,37391
2018,Toyota,RAV4 LE,,31885,25989
2016,Toyota,Corolla LE Plus,,74989,14994
2018,Toyota,RAV4 Limited,,35215,29799
2019,Toyota,Highlander XLE,,17570,38989
2019,Toyota,Highlander Hybrid XLE,,26814,42974
2019,Toyota,4Runner Limited,,88026,38959
2020,Toyota,Tacoma TRD Sport,,22329,44333
2018,Toyota,Highlander XLE,,15693,40211
2015,Toyota,Sequoia Platinum,,87514,38590
2018,Toyota,RAV4 LE,,32883,25500
2019,Toyota,Camry SE,,13033,29990
2017,Toyota,Camry XLE,,35376,22495
2019,Toyota,Highlander LE,,34446,30957
2018,Toyota,RAV4 LE,,32738,27988
2018,Toyota,RAV4 LE,,22423,29637
2018,Toyota,4Runner Limited 4WD,,85280,41950
2017,Toyota,Camry SE,,191504,13981
2019,Toyota,Camry XSE,,40152,30522
2017,Toyota,RAV4 LE,,61144,22887
2020,Toyota,Camry XSE,,17437,34500
2015,Toyota,Highlander Limited Platinum,,87893,29350
2019,Toyota,Camry LE,,85227,22896
2019,Toyota,Corolla LE,,49160,19269
2021,Toyota,Camry XSE,,18524,36188
2021,Toyota,4Runner Nightshade,,3788,53991
2018,Toyota,Highlander XLE,,23945,36500
2019,Toyota,Highlander XLE,,18325,41603
2019,Toyota,Highlander Hybrid Limited Platinum,,19816,49501
2015,Toyota,RAV4 Limited,,140873,18491
2016,Toyota,4Runner Limited,,73999,31438
2018,Toyota,Prius Prime Advanced,,48627,28498
2020,Toyota,4Runner Limited,,10732,56550
2011,Toyota,Tacoma Access Cab,,42038,20000
2004,Toyota,Camry LE,,89370,7994
2019,Toyota,Tundra SR5,,11159,42995
2016,Toyota,4Runner Limited,,69359,35274
2018,Toyota,RAV4 XLE,,34046,28959
2019,Toyota,4Runner Limited,,30408,46490
2016,Toyota,Highlander XLE,,44971,35950
2019,Toyota,4Runner Limited,,39136,44391
2019,Toyota,Camry LE,,58667,26670
2018,Toyota,RAV4 SE,,41779,29299
2020,Toyota,RAV4 LE,,45251,29575
2018,Toyota,RAV4 LE,,66623,28977
2020,Toyota,Corolla LE,,32207,19000
2020,Toyota,RAV4 LE,,18273,32000
2018,Toyota,RAV4 XLE,,29890,28900
2014,Toyota,Tacoma PreRunner,,53214,29582
2021,Toyota,Corolla LE,,13817,23015
2018,Toyota,RAV4 LE,,34413,27347
2019,Toyota,Corolla LE,,102003,13999
2019,Toyota,Camry LE,,53529,24988
2018,Toyota,Corolla SE,,34417,19978
2019,Toyota,Highlander XLE,,45134,38480
2018,Toyota,RAV4 XLE,,19169,27979
2018,Toyota,Tacoma SR5,,44526,34830
2017,Toyota,RAV4 Limited,,44094,29263
2019,Toyota,Camry XSE,,49815,31368
2018,Toyota,RAV4 XLE,,34209,27998
2019,Toyota,4Runner SR5,,44601,39228
2018,Toyota,RAV4 LE,,31650,24889
2017,Toyota,4Runner Limited,,36361,41894
2012,Toyota,RAV4 Sport,,90295,14491
2018,Toyota,RAV4 XLE,,56348,27383
2018,Toyota,RAV4 XLE,,16766,27595
2018,Toyota,RAV4 LE,,34482,26909
2018,Toyota,4Runner SR5,,39009,40995
2016,Toyota,Prius Two Eco,,58013,20499
2021,Toyota,Corolla LE,,46960,20594
2018,Toyota,Tundra Limited,,23091,18800
2009,Toyota,Camry XLE,,88145,9978
2019,Toyota,Highlander Hybrid XLE,,15196,44787
2009,Toyota,Highlander Hybrid Limited,,163184,13500
2019,Toyota,Highlander XLE,,30163,41900
2019,Toyota,4Runner Limited,,41753,45998
2019,Toyota,Camry SE,,29676,25985
2013,Toyota,Highlander Limited,,99251,21990
2007,Toyota,4Runner Sport,,178971,14949
2021,Toyota,RAV4 XLE Premium,,11700,37985
2018,Toyota,Highlander LE,,92625,24991
2019,Toyota,Corolla LE,,49865,19890
2018,Toyota,RAV4 Hybrid Limited,,22940,33991
2018,Toyota,RAV4 LE,,39426,25800
2018,Toyota,RAV4 Limited,,32418,30916
2018,Toyota,RAV4 LE,,30536,26848
2015,Toyota,Highlander Limited Platinum,,80079,31000
2019,Toyota,Camry SE,,32262,29948
2017,Toyota,4Runner Limited,,78236,39795
2000,Toyota,4Runner ,,120392,11995
2019,Toyota,Camry XLE,,25694,28991
2016,Toyota,4Runner SR5,,63439,30996
2020,Toyota,Tundra SR5,,19901,45777
2016,Toyota,Highlander XLE,,107847,27881
2018,Toyota,Highlander XLE,,22548,36094
2019,Toyota,4Runner Limited,,15543,47000
2016,Toyota,Camry SE,,78651,16900
2019,Toyota,Corolla LE,,45239,19499
2008,Toyota,Tundra Limited,,103215,23999
2020,Toyota,Tacoma SR,,17699,35312
2017,Toyota,Prius Two,,127649,13995
2005,Toyota,Highlander Limited,,142697,7995
2018,Toyota,RAV4 AWD XLE,,56779,29990
2008,Toyota,RAV4 Base,,148737,7990
2021,Toyota,RAV4 XLE,,12180,36177
2013,Toyota,Corolla LE,,17333,13990
2020,Toyota,Highlander XLE,,11216,42819
2020,Toyota,Camry SE,,11543,28990
2018,Toyota,4Runner Limited,,70603,39049
2021,Toyota,Camry XSE,,22984,36188
2019,Toyota,Camry XSE,,18389,31999
2018,Toyota,RAV4 XLE,,45418,28595
2016,Toyota,Highlander XLE,,116524,24874
2016,Toyota,Highlander XLE,,49380,35991
2019,Toyota,Tundra Platinum,,50278,48989
2016,Toyota,Tacoma SR5,,59183,30452
2018,Toyota,Prius Two,,83739,18446
2020,Toyota,Corolla LE,,21836,23901
2018,Toyota,RAV4 XLE,,30913,26929
2020,Toyota,4Runner SR5,,44043,40492
2020,Toyota,Land Cruiser Base,,23597,96626
2018,Toyota,Highlander XLE,,47887,35121
2021,Toyota,Supra 3.0 Premium,,3416,59981
2018,Toyota,RAV4 LE,,24652,24996
2016,Toyota,Highlander XLE,,112688,25997
2019,Toyota,Camry SE,,32063,29400
2019,Toyota,Corolla LE,,49518,19915
2014,Toyota,4Runner Limited,,87134,31488
2017,Toyota,Corolla L,,54300,13999
2020,Toyota,Sienna XLE,,19324,33966
2019,Toyota,Highlander XLE,,30611,36085
2020,Toyota,Tundra SR5,,48257,36398
2019,Toyota,Corolla SE,,32127,21000
2018,Toyota,RAV4 LE,,36117,27975
2021,Toyota,RAV4 LE,,13365,32934
2019,Toyota,Camry LE,,11131,27997
2018,Toyota,Highlander LE Plus,,19499,33999
2019,Toyota,Highlander LE,,63950,27998
2017,Toyota,Highlander XLE,,43314,35126
2018,Toyota,RAV4 LE,,74712,22492
2014,Toyota,Sienna XLE,,116822,19524
2019,Toyota,Corolla LE,,36604,19999
2017,Toyota,Camry XLE,,19949,27000
2016,Toyota,Prius Four,,88677,18988
2018,Toyota,4Runner Limited,,23882,43546
2019,Toyota,RAV4 Limited,,13300,35960
2018,Toyota,RAV4 LE,,35870,25168
2019,Toyota,Highlander XLE,,18143,36699
2019,Toyota,Prius L,,25660,27558
2016,Toyota,RAV4 Limited,,45501,25388
2018,Toyota,RAV4 XLE,,31696,27724
2019,Toyota,RAV4 XLE Premium,,12341,36788
2018,Toyota,RAV4 XLE,,19529,30750
2017,Toyota,Camry XLE,,40296,22279
2020,Toyota,RAV4 LE,,19048,35991
2019,Toyota,Highlander LE,,34383,32398
2019,Toyota,Camry L,,38175,26995
2020,Toyota,Camry SE,,17968,27393
2019,Toyota,Camry XSE,,31100,35981
2020,Toyota,Corolla LE,,49911,21400
2018,Toyota,RAV4 XLE,,32919,28000
2018,Toyota,RAV4 XLE,,33213,24298
2019,Toyota,RAV4 Limited,,23521,38588
2018,Toyota,RAV4 Limited,,38732,28947
2013,Toyota,Prius Two,,105511,13000
2019,Toyota,4Runner SR5 Premium,,43805,43549
2020,Toyota,4Runner Limited,,14643,48491
2018,Toyota,Camry SE,,76652,20498
2019,Toyota,Corolla SE,,42567,19947
2017,Toyota,Highlander XLE,,22779,33987
2019,Toyota,C-HR LE,,35150,23995
2018,Toyota,RAV4 LE,,47349,26878
2015,Toyota,Sequoia Platinum,,83694,40828
2018,Toyota,4Runner Limited,,66746,40895
2020,Toyota,Tacoma TRD Off Road,,18087,23950
2018,Toyota,Highlander Hybrid Limited,,45971,41475
2021,Toyota,Corolla LE,,21054,25313
2018,Toyota,RAV4 LE,,24408,26987
2016,Toyota,Highlander XLE,,111450,26250
2017,Toyota,Tacoma SR,,34269,30140
2018,Toyota,C-HR XLE,,49572,22795
2019,Toyota,4Runner Sport,,32565,49888
2009,Toyota,Prius Touring,,101296,6995
2019,Toyota,Camry SE,,42024,25910
2021,Toyota,Corolla LE,,11866,25998
2018,Toyota,RAV4 XLE,,45467,26989
2018,Toyota,4Runner TRD Off Road Premium,,40090,40991
2018,Toyota,C-HR XLE,,64101,20950
2020,Toyota,Highlander XLE,,48525,41467
2019,Toyota,Tundra SR5,,17518,48200
2018,Toyota,RAV4 XLE,,19877,30000
2017,Toyota,Prius Prime Advanced,,34386,30999
2019,Toyota,Camry LE,,49722,23409
2019,Toyota,Highlander Limited,,55558,38397
2021,Toyota,RAV4 XLE,,14226,33757
2018,Toyota,RAV4 LE,,14861,26900
2019,Toyota,Highlander LE,,14714,36887
2018,Toyota,4Runner Limited,,92372,43400
2020,Toyota,Corolla LE,,43018,21257
2016,Toyota,Highlander Limited,,81723,27500
2019,Toyota,RAV4 XLE,,14733,32880
2018,Toyota,C-HR XLE,,47750,22289
2020,Toyota,Camry SE,,33042,26982
2012,Toyota,4Runner Limited,,63233,28999
2019,Toyota,C-HR XLE,,17280,25999
2021,Toyota,RAV4 XLE,,39045,33991
2020,Toyota,Corolla LE,,89841,17699
2021,Toyota,RAV4 LE,,15017,32932
2018,Toyota,4Runner Limited,,47455,47097
2018,Toyota,RAV4 XLE,,35007,30992
2018,Toyota,RAV4 XLE,,57983,26250
2018,Toyota,RAV4 XLE,,35774,29989
2018,Toyota,RAV4 XLE,,31410,30550
2018,Toyota,4Runner Limited,,48843,43998
2014,Toyota,Sienna XLE,,64150,25998
2020,Toyota,Sienna XLE,,29822,41914
2020,Toyota,Tundra SR5,,19268,41469
2018,Toyota,RAV4 LE,,30724,24139
2020,Toyota,RAV4 XLE,,43626,37600
2019,Toyota,4Runner TRD Off Road Premium,,24185,49498
2018,Toyota,Highlander ,,36459,40995
2019,Toyota,Tacoma SR,,38043,33812
2017,Toyota,Sienna XLE,,89771,27974
2020,Toyota,Tacoma TRD Sport,,33457,41391
2018,Toyota,4Runner Limited,,37897,40824
2019,Toyota,C-HR LE,,20330,23795
2019,Toyota,Corolla LE,,72889,19885
2018,Toyota,RAV4 XLE,,81262,22995
2015,Toyota,RAV4 Limited,,57793,20494
2020,Toyota,Camry XSE,,23853,34740
2018,Toyota,RAV4 XLE,,10088,27710
1998,Toyota,Camry XLE,,119149,3998
2003,Toyota,Avalon XLS,,114747,4500
2018,Toyota,Highlander LE,,32641,30000
2009,Toyota,Tacoma Access Cab,,101206,18000
2019,Toyota,Highlander LE,,31165,32578
2019,Toyota,Corolla SE,,42682,23517
2017,Toyota,RAV4 XLE,,15907,31975
2020,Toyota,RAV4 XLE,,19576,31977
2019,Toyota,C-HR LE,,34113,23872
2019,Toyota,Sienna Limited Premium,,35450,40844
2019,Toyota,RAV4 XLE,,10843,34500
2020,Toyota,Corolla LE,,43635,20579
2020,Toyota,Corolla LE,,42566,21139
2018,Toyota,Avalon XLE Premium,,59621,24900
2020,Toyota,Highlander XLE,,16152,43981
2020,Toyota,RAV4 XLE,,17392,36400
2019,Toyota,Sienna XLE,,39093,40389
2019,Toyota,Highlander XLE,,38976,39500
2020,Toyota,Camry XSE,,21836,35447
2004,Toyota,Sequoia Limited,,145111,8495
2005,Toyota,RAV4 ,,115535,7994
2013,Toyota,Avalon Hybrid XLE Touring,,79401,16900
2017,Toyota,Corolla L,,66664,16999
2018,Toyota,4Runner Limited,,50723,41442
2019,Toyota,4Runner Limited,,48160,49981
2021,Toyota,Highlander XSE,,19995,45995
2018,Toyota,RAV4 LE,,38453,25500
2017,Toyota,Corolla LE,,61067,16995
2018,Toyota,RAV4 LE,,37514,26882
2020,Toyota,Highlander XLE,,17391,42999
2020,Toyota,4Runner SR5 Premium,,15656,43990
2020,Toyota,Camry SE,,1000,26986
2018,Toyota,RAV4 XLE,,65970,29887
2006,Toyota,Avalon Touring,,83497,9994
2019,Toyota,RAV4 XLE Premium,,17918,34900
2017,Toyota,Corolla LE,,23261,17995
2020,Toyota,Highlander XLE,,33356,43988
2019,Toyota,C-HR LE,,19296,26875
2018,Toyota,RAV4 XLE,,30317,29995
2018,Toyota,RAV4 XLE,,34983,28995
2019,Toyota,Tundra SR5,,42289,45226
2018,Toyota,RAV4 LE,,34695,27994
2021,Toyota,Camry XSE,,25906,39697
2019,Toyota,Corolla L,,23851,19895
2009,Toyota,Corolla LE,,39260,11994
2018,Toyota,RAV4 XLE,,41688,28471
2019,Toyota,Corolla L,,22487,19200
2014,Toyota,Tacoma Base,,84944,21352
2019,Toyota,Camry LE,,23701,26995
2018,Toyota,Tundra SR5,,36204,44989
2019,Toyota,C-HR LE,,22053,22989
2020,Toyota,RAV4 LE,,10339,32982
2020,Toyota,Corolla LE,,15740,22995
2019,Toyota,4Runner SR5,,42730,42144
2018,Toyota,RAV4 LE,,25973,26251
2019,Toyota,Highlander XLE,,15088,39768
2015,Toyota,RAV4 Limited,,70652,22666
2018,Toyota,RAV4 XLE,,13430,29474
2020,Toyota,Camry SE,,11668,30000
2018,Toyota,4Runner Limited,,28236,41992
2018,Toyota,RAV4 LE,,82928,21393
2018,Toyota,RAV4 XLE,,36697,28977
2021,Toyota,RAV4 LE,,10005,34993
2021,Toyota,Corolla LE,,13595,22928
2019,Toyota,4Runner TRD Pro,,19009,60382
2019,Toyota,Camry SE,,13025,27499
2016,Toyota,4Runner Limited,,56727,37900
2018,Toyota,RAV4 XLE,,38904,26191
2017,Toyota,Tundra 1794,,80815,41250
2018,Toyota,RAV4 LE,,37610,27500
2019,Toyota,C-HR XLE,,47134,24209
2020,Toyota,Corolla LE,,41321,20939
2017,Toyota,Sienna XLE,,88570,27985
2016,Toyota,4Runner Limited,,35865,39841
2018,Toyota,RAV4 XLE,,11750,26495
2020,Toyota,RAV4 LE,,15667,31994
2019,Toyota,4Runner SR5,,44884,41498
2020,Toyota,Tundra SR5,,19672,42992
2017,Toyota,Sienna Limited Premium,,85823,29999
2020,Toyota,4Runner SR5,,16494,44777
2018,Toyota,4Runner Limited,,38204,45488
2019,Toyota,Land Cruiser V8,,31529,93935
2013,Toyota,Highlander SE,,89798,21251
2018,Toyota,RAV4 LE,,33064,27139
2020,Toyota,Camry LE,,38170,24600
2015,Toyota,Highlander Limited,,56981,31491
2020,Toyota,RAV4 LE,,14708,32927
2018,Toyota,RAV4 LE,,24160,28975
2015,Toyota,Highlander XLE,,152865,22450
2021,Toyota,Corolla LE,,11134,25000
2019,Toyota,RAV4 Hybrid XLE,,11872,36981
2010,Toyota,Prius IV,,190884,7995
2000,Toyota,4Runner SR5,,145199,15995
2019,Toyota,Corolla LE,,23814,19989
2007,Toyota,Matrix ,,74132,8000
