year,make,model,cond,mileage,price
2016,Toyota,Highlander Limited Platinum,,62598,29446
2012,Toyota,Highlander Limited,,168092,16485
2019,Toyota,Camry XSE,,18142,32367
2021,Toyota,RAV4 Hybrid XSE,,33585,41900
2018,Toyota,RAV4 Limited,,30020,28459
2016,Toyota,4Runner Limited,,81870,35980
2019,Toyota,Tundra SR5,,21338,38200
2019,Toyota,Highlander LE,,57116,30989
2017,Toyota,Highlander Limited,,17313,37000
2019,Toyota,Camry XSE,,32441,31988
2019,Toyota,Highlander ,,18443,39602
2019,Toyota,Highlander XLE,,18645,40888
2016,Toyota,Highlander XLE,,82539,28500
2019,Toyota,RAV4 XLE Premium,,36286,34809
2019,Toyota,Highlander XLE,,19918,40888
2014,Toyota,Highlander XLE,,48367,24992
2016,Toyota,4Runner Limited,,67321,35389
2017,Toyota,Sienna XLE,,52941,30683
2013,Toyota,Land Cruiser V8,,49630,55100
2021,Toyota,Supra 3.0,,4121,56500
2019,Toyota,Camry SE,,49549,18900
2015,Toyota,Land Cruiser V8,,105776,52988
2018,Toyota,Tundra SR5,,15757,42500
2018,Toyota,Camry XSE,,28543,30486
2018,Toyota,Highlander XLE,,20501,37729
2018,Toyota,RAV4 XLE,,50325,27191
2019,Toyota,Camry SE,,50902,21898
2019,Toyota,Tacoma SR,,23263,30995
2017,Toyota,Sienna XLE,,33342,38811
2018,Toyota,RAV4 XLE,,56960,27750
2008,Toyota,Camry Solara SE,,34950,13788
2021,Toyota,Supra 3.0,,5628,58879
2017,Toyota,Corolla LE,,33178,19999
2018,Toyota,Highlander XLE,,32825,38950
2017,Toyota,Camry XLE,,25189,22900
2017,Toyota,RAV4 LE,,74460,18992
2017,Toyota,RAV4 LE,,68350,23891
2011,Toyota,Avalon Limited,,88057,14391
2017,Toyota,Prius Two,,45968,18995
2011,Toyota,Prius IV,,110209,11995
2018,Toyota,4Runner Limited,,34722,47134
2015,Toyota,Highlander Hybrid Limited,,102475,27990
2012,Toyota,Highlander SE,,114073,17486
2008,Toyota,Land Cruiser ,,102702,36250
2016,Toyota,4Runner SR5,,49732,34664
2021,Toyota,RAV4 Hybrid XSE,,596,43500
2017,Toyota,Highlander Hybrid Limited,,35217,41488
2020,Toyota,RAV4 XLE Premium,,13013,38994
2019,Toyota,Highlander XLE,,29894,39800
2015,Toyota,RAV4 LE,,62879,16995
2013,Toyota,RAV4 XLE,,150432,14999
2020,Toyota,RAV4 XLE Premium,,5462,35802
2020,Toyota,Land Cruiser Heritage Edition,,25727,101500
2014,Toyota,Prius Five,,76322,9995
2020,Toyota,Camry SE,,24899,27998
2016,Toyota,Highlander Limited,,71502,27885
2018,Toyota,Highlander XLE,,23935,41900
2014,Toyota,Land Cruiser V8,,91651,48950
2014,Toyota,Tacoma PreRunner,,69692,15888
2019,Toyota,4Runner Limited Nightshade,,30289,47990
2018,Toyota,Tacoma SR5,,34358,37139
2018,Toyota,Highlander XLE,,45830,32987
2020,Toyota,RAV4 XLE Premium,,20423,44995
2015,Toyota,4Runner Limited,,60423,37800
2019,Toyota,Camry SE,,91140,21400
2009,Toyota,Land Cruiser V8,,107614,36900
2020,Toyota,Tundra Platinum,,14789,55990
2017,Toyota,Sienna XLE,,90730,26490
2002,Toyota,Tacoma PreRunner,,273500,9800
2017,Toyota,RAV4 XLE,,55043,25706
2011,Toyota,Highlander Limited,,105875,17995
2018,Toyota,RAV4 Limited,,41960,31900
2020,Toyota,Tundra SR5,,15994,47990
2021,Toyota,Land Cruiser Base,,9383,119855
2019,Toyota,Highlander Hybrid Limited Platinum,,27478,43900
2017,Toyota,Corolla LE,,76947,13990
2016,Toyota,Tacoma SR5,,68814,29229
2018,Toyota,Highlander XLE,,52686,36888
2015,Toyota,RAV4 Limited,,88398,21997
2018,Toyota,Camry LE,,23341,23950
2019,Toyota,Highlander XLE,,31471,39835
2021,Toyota,Camry XSE,,22640,36991
2018,Toyota,Highlander LE,,85179,31995
2020,Toyota,Highlander XLE,,34973,40552
2018,Toyota,RAV4 Hybrid Limited,,14968,37997
2017,Toyota,Tundra 1794,,65178,44987
2017,Toyota,RAV4 XLE,,36162,24500
2019,Toyota,RAV4 XLE Premium,,49714,36356
2019,Toyota,Camry XSE,,53673,32953
2017,Toyota,RAV4 LE,,26500,26999
2012,Toyota,Highlander Limited,,134389,18998
2008,Toyota,4Runner Limited,,122000,17900
2016,Toyota,Highlander Limited,,61239,31988
2013,Toyota,Land Cruiser V8,,112456,44990
2012,Toyota,4Runner SR5,,160778,19995
2018,Toyota,RAV4 XLE,,46789,26245
2019,Toyota,Camry Hybrid SE,,17094,29744
2018,Toyota,Tacoma TRD Sport,,15729,39786
2019,Toyota,Highlander LE,,41261,32339
2019,Toyota,Camry SE,,15883,23995
2020,Toyota,Camry SE,,29899,26492
2020,Toyota,Corolla SE,,26076,24992
2018,Toyota,Highlander XLE,,46042,34354
2019,Toyota,Camry LE,,47369,21905
2019,Toyota,Avalon Hybrid Limited,,13144,34962
2018,Toyota,RAV4 XLE,,10493,25995
2019,Toyota,Corolla LE,,29990,18490
2019,Toyota,Camry XSE,,13313,35490
2019,Toyota,Tacoma SR,,44364,19450
2013,Toyota,Land Cruiser V8,,71937,54990
2018,Toyota,Camry SE,,34746,27399
2019,Toyota,Prius Prime Plus,,25803,26999
2018,Toyota,Highlander XLE,,60450,36929
2019,Toyota,Highlander XLE,,25987,38995
2019,Toyota,Camry SE,,43819,24990
2021,Toyota,Supra 3.0,,5404,54885
2018,Toyota,Highlander Hybrid LE,,33373,34980
2011,Toyota,FJ Cruiser Base,,81089,32874
2019,Toyota,Corolla LE,,50151,21998
2009,Toyota,Camry ,,166589,7525
2019,Toyota,Highlander XLE,,34414,39539
2019,Toyota,Highlander XLE,,11988,39015
2018,Toyota,Tacoma SR5,,50988,38482
2002,Toyota,Land Cruiser ,,293420,9988
2020,Toyota,Camry XSE,,67884,26873
2019,Toyota,Camry XLE,,6108,34000
2018,Toyota,4Runner Limited,,38908,44073
2012,Toyota,Highlander SE,,130540,17888
2018,Toyota,Camry SE,,47951,24399
2013,Toyota,Highlander Hybrid Limited,,147827,17600
2018,Toyota,RAV4 LE,,32770,24308
2020,Toyota,Tundra Platinum,,9954,56998
2019,Toyota,Highlander XLE,,58811,38099
2017,Toyota,RAV4 LE,,75228,22965
2019,Toyota,Highlander XLE,,21481,40947
2018,Toyota,RAV4 LE,,27312,30991
2018,Toyota,Tacoma SR5,,41335,37950
2018,Toyota,Camry XLE,,46200,26987
2018,Toyota,RAV4 Limited,,19010,30791
2018,Toyota,4Runner Limited,,48373,39973
2019,Toyota,Highlander XLE,,28717,39997
2019,Toyota,Camry XSE,,31284,31525
2020,Toyota,4Runner Limited,,18752,50550
2018,Toyota,4Runner Limited,,38092,46288
2020,Toyota,4Runner SR5,,49800,36650
2020,Toyota,Camry SE,,18766,28500
2021,Toyota,Land Cruiser ,,8609,122755
2017,Toyota,Highlander Hybrid Limited,,55953,37998
2018,Toyota,Mirai Base,,34610,19999
2019,Toyota,Corolla LE,,12068,20490
2020,Toyota,Corolla LE,,22689,22880
2017,Toyota,Camry XLE,,67000,21713
2016,Toyota,4Runner Limited,,81015,38048
2016,Toyota,4Runner Limited,,43395,40999
2021,Toyota,Sienna LE,,3466,48995
2013,Toyota,Highlander Limited,,105708,20998
2018,Toyota,RAV4 Limited,,42954,29715
2018,Toyota,Tundra SR5,,63325,37100
2020,Toyota,C-HR LE,,30453,27988
2016,Toyota,Camry SE,,48937,20995
2021,Toyota,RAV4 LE,,9653,32995
2020,Toyota,Camry SE,,14897,28744
2014,Toyota,FJ Cruiser Base,,63301,38909
2019,Toyota,Highlander XLE,,12298,38996
2020,Toyota,Corolla Hybrid LE,,60084,24595
2021,Toyota,Sienna LE,,23102,41455
2016,Toyota,Tundra Limited,,70400,24995
2004,Toyota,4Runner SR5,,200439,9500
2012,Toyota,Highlander Limited,,118634,18998
2020,Toyota,Camry XSE,,25738,32998
2020,Toyota,4Runner Limited,,33576,47500
2018,Toyota,4Runner Limited,,39728,47494
2007,Toyota,Tundra Limited,,152511,14900
2018,Toyota,Highlander XLE,,37955,34798
2014,Toyota,Highlander Limited,,95505,24950
2018,Toyota,RAV4 XLE,,16911,29135
2018,Toyota,Tundra SR5,,58490,33427
2012,Toyota,Tundra Limited,,147033,21990
2011,Toyota,Camry ,,64108,12000
2010,Toyota,Corolla LE,,91839,12680
2010,Toyota,Highlander ,,114163,13985
2020,Toyota,Corolla LE,,15680,19995
2017,Toyota,Prius Two,,73648,20248
2015,Toyota,4Runner Limited,,62500,39998
2019,Toyota,Highlander Limited Platinum,,16592,43998
2019,Toyota,RAV4 XLE,,25517,32739
2019,Toyota,Highlander XLE,,56100,36990
2019,Toyota,4Runner SR5,,68705,36500
2018,Toyota,RAV4 XLE,,30351,27995
2019,Toyota,Tacoma TRD Pro,,19878,47974
2015,Toyota,Tundra SR5,,53814,40950
2018,Toyota,RAV4 SE,,19359,31500
2018,Toyota,RAV4 Limited,,29837,31112
2020,Toyota,Tundra SR5,,18149,53957
2019,Toyota,Highlander XLE,,62057,40256
2016,Toyota,Camry SE,,79686,18221
2021,Toyota,RAV4 Hybrid XLE Premium,,4810,38990
2019,Toyota,Prius LE,,48973,26397
2009,Toyota,Camry XLE,,149506,7994
2016,Toyota,Tundra SR5,,65059,29398
2019,Toyota,Tacoma SR,,35008,27999
2013,Toyota,Land Cruiser V8,,121453,42000
2018,Toyota,Highlander XLE,,21973,36891
2018,Toyota,Prius Prime Advanced,,42919,27980
2020,Toyota,Tundra SR5,,15223,47480
2019,Toyota,RAV4 Limited,,34975,39474
2020,Toyota,Tundra SR5,,19482,44777
2020,Toyota,Tundra SR5,,35428,42315
2019,Toyota,Tacoma SR,,38750,25785
2018,Toyota,Highlander Limited,,27989,29890
2020,Toyota,Tundra SR5,,16408,50992
2018,Toyota,4Runner SR5 Premium,,37957,39361
2018,Toyota,RAV4 Limited,,14736,31700
2017,Toyota,4Runner Limited,,88252,39398
2019,Toyota,4Runner Limited,,17484,49784
2018,Toyota,RAV4 XLE,,35102,28982
2019,Toyota,RAV4 XLE,,12489,31499
2019,Toyota,Corolla LE,,38310,19966
2019,Toyota,Highlander Limited,,34502,39424
2021,Toyota,Sienna LE,,11707,40500
2020,Toyota,Tacoma TRD Off Road,,20147,44786
2017,Toyota,Highlander Limited Platinum,,78694,35094
2018,Toyota,RAV4 XLE,,28633,28795
2018,Toyota,RAV4 Limited,,21384,29495
2017,Toyota,4Runner Limited,,48827,38999
2019,Toyota,Camry SE,,47500,26994
2020,Toyota,RAV4 Hybrid Limited,,31967,41900
2018,Toyota,RAV4 XLE,,39923,26319
2019,Toyota,Avalon XLE Touring,,36868,38000
2020,Toyota,RAV4 XLE,,15405,33874
2020,Toyota,4Runner Limited,,12086,52895
2018,Toyota,4Runner Limited,,34824,44900
2021,Toyota,Corolla LE,,13089,23699
2016,Toyota,RAV4 Hybrid Limited,,35473,28415
2018,Toyota,RAV4 XLE,,48188,23690
2018,Toyota,RAV4 Hybrid Limited,,31237,33991
2018,Toyota,Highlander Limited,,35367,38200
